Non-Optimized Profile for Pan
=============================

Update or replace this file as new information becomes available.

Conditions of this profile:
   Non-optimized code.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (7.2 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.14      6.83     0.01    41002     0.00     0.00  __deque_iterator<TaEvent, TaEvent &, TaEvent *, 0>::set_node(TaEvent **)
  0.14      6.84     0.01    34796     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::buffer_size(void)
  0.14      6.85     0.01    34790     0.00     0.00  vector<unsigned int, __default_alloc_template<true, 0> >::deallocate(void)
  0.14      6.86     0.01    34788     0.00     0.06  TaRun::NextEvent(void)
  0.14      6.87     0.01    34787     0.00     0.02  TaPairFromPair::Fill(TaEvent &)
  0.14      6.88     0.01    34787     0.00     0.00  TaEvent::SetDelHelicity(EHelicity)
  0.14      6.89     0.01    34786     0.00     0.00  __apl__t16__deque_iterator4Z7TaEventZR7TaEventZP7TaEventUi0i
  0.14      6.90     0.01    34786     0.00     0.00  __list_iterator<unsigned int, unsigned int const &, unsigned int const *>::__list_iterator(__list_node<unsigned int> *)
  0.14      6.91     0.01    34786     0.00     0.00  unsigned int * vector<unsigned int, __default_alloc_template<true, 0> >::allocate_and_copy<unsigned int const *>(unsigned int, unsigned int const *, unsigned int const *)
  0.14      6.92     0.01    34786     0.00     0.00  unsigned int * copy<unsigned int const *, unsigned int *>(unsigned int const *, unsigned int const *, unsigned int *)
  0.14      6.93     0.01    19057     0.00     0.00  simple_alloc<__list_node<unsigned int>, __default_alloc_template<true, 0> >::allocate(void)
  0.14      6.94     0.01    19057     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::put_node(__list_node<unsigned int> *)
  0.14      6.95     0.01    17399     0.00     0.00  __destroy_aux__H1ZP13TaCutInterval_X01T0G12__false_type_v
  0.14      6.96     0.01    17399     0.00     0.00  void destroy<TaCutInterval *>(TaCutInterval *, TaCutInterval *)
  0.14      6.97     0.01    17395     0.00     0.00  VaPair::GetResults(void) const
  0.14      6.98     0.01    17395     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::allocate_node(void)
  0.14      6.99     0.01    17395     0.00     0.00  simple_alloc<TaEvent, __default_alloc_template<true, 0> >::deallocate(TaEvent *, unsigned int)
  0.14      7.00     0.01    17394     0.00     0.00  VaPair::~VaPair(void)
  0.14      7.01     0.01    17394     0.00     0.01  TaPairFromPair::TaPairFromPair(void)
  0.14      7.02     0.01    17394     0.00     0.01  VaPair::VaPair(void)
  0.14      7.03     0.01    17394     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::clear(void)
  0.14      7.04     0.01    17394     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::empty_initialize(void)
  0.14      7.05     0.01    17393     0.00     0.00  TaRun::GetCutList(void) const
  0.14      7.06     0.01    17393     0.00     0.01  TaCutList::TaCutList(TaCutList const &)
  0.14      7.07     0.01    17393     0.00     0.00  vector<TaCutInterval, __default_alloc_template<true, 0> >::vector(vector<TaCutInterval, __default_alloc_template<true, 0> > const &)
  0.14      7.08     0.01    17393     0.00     0.00  __uninitialized_copy_aux__H2ZPC13TaCutIntervalZP13TaCutInterval_X01T0X11G12__false_type_X11
  0.14      7.09     0.01    17393     0.00     0.00  void construct<VaPair *, VaPair *>(VaPair * *, VaPair * const &)
  0.14      7.10     0.01    17393     0.00     0.00  void list<unsigned int, __default_alloc_template<true, 0> >::insert<__list_iterator<unsigned int, unsigned int const &, unsigned int const *> >(__list_iterator<unsigned int, unsigned int &, unsigned int *>, __list_iterator<unsigned int, unsigned int const &, unsigned int const *>, __list_iterator<unsigned int, unsigned int const &, unsigned int const *>)
  0.14      7.11     0.01    17393     0.00     0.00  deque<VaPair *, __default_alloc_template<true, 0>, 0>::push_back(VaPair *const &)
  0.14      7.12     0.01    17392     0.00     0.01  deque<TaEvent, __default_alloc_template<true, 0>, 0>::push_back_aux(TaEvent const &)
  0.14      7.13     0.01    11000     0.00     0.00  rb_tree<char, pair<char const, int>, select1st<pair<char const, int> >, less<char>, __default_alloc_template<true, 0> >::find(char const &)
  0.14      7.14     0.01     6600     0.00     0.00  __pp__t15__list_iterator3ZUiZRUiZPUi
  0.14      7.15     0.01     5162     0.00     0.00  __ne__H1Zt18__rb_tree_iterator3Zt4pair2ZCcZiZRt4pair2ZCcZiZPt4pair2ZCcZi_RCX01T0_b
  0.14      7.16     0.01     3106     0.00     0.01  __cl__t15__copy_dispatch2ZPP7TaEventZPP7TaEventPP7TaEventN21
  0.14      7.17     0.01     3106     0.00     0.00  __copy_t__H1ZP7TaEvent_PCX01T0PX01G11__true_type_PX01
  0.14      7.18     0.01     1651     0.01     0.01  __ml__Ct15__list_iterator3ZUiZRCUiZPCUi
  0.14      7.19     0.01       72     0.14     0.14  TaStatistics::TaStatistics(TaStatistics const &)
  0.00      7.19     0.00   631177     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::end(void)
  0.00      7.19     0.00   417436     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::push_back(TaLabelledQuantity const &)
  0.00      7.19     0.00   347874     0.00     0.00  __copy_t__H1Z18TaLabelledQuantity_PCX01T0PX01G12__false_type_PX01
  0.00      7.19     0.00   338757     0.00     0.00  __list_iterator<unsigned int, unsigned int &, unsigned int *>::__list_iterator(__list_node<unsigned int> *)
  0.00      7.19     0.00   313080     0.00     0.00  TaLabelledQuantity * copy<TaLabelledQuantity const *, TaLabelledQuantity *>(TaLabelledQuantity const *, TaLabelledQuantity const *, TaLabelledQuantity *)
  0.00      7.19     0.00   295734     0.00     0.00  vector<AnaList *, __default_alloc_template<true, 0> >::end(void)
  0.00      7.19     0.00   267145     0.00     0.00  simple_alloc<double, __default_alloc_template<true, 0> >::allocate(unsigned int)
  0.00      7.19     0.00   214994     0.00     0.00  __deque_iterator<TaEvent, TaEvent &, TaEvent *, 0>::buffer_size(void)
  0.00      7.19     0.00   208721     0.00     0.00  TaEvent::operator=(TaEvent const &)
  0.00      7.19     0.00   205434     0.00     0.00  vector<TaCutInterval, __default_alloc_template<true, 0> >::size(void) const
